date,value
2022,40.8137
2021,38.2459
2020,27.5774
2019,22.6688
2018,19.5
2017,17.8271
2016,16.6
2015,16.5879
2014,16.5
2013,13.0
2012,10.5
2011,8.8
2010,7.2
2009,6.1
2008,5.2
2007,4.4
2006,3.6
2005,3.1019
2004,3.02353
2003,2.9419
2002,1.20777
2001,0.619782
2000,0.31806
1999,0.114256028
1998,0.050261388
1997,0.034406051
1996,0.008839115
1995,0.000727482
1994,0.0
1993,0.0
1992,0.0
1991,0.0
1990,0.0
