"economy","economycode","wpid_random","wgt","female","age","educ","inc_q","emp_in","urbanicity_f2f","account","account_fin","account_mob","fin1_1a","fin1_1b","fin2","fin4","fin4a","fin5","fin6","fin7","fin8","fin8a","fin8b","fin9","fin9a","fin10","fin10a","fin10b","fin11_1","fin11a","fin11b","fin11c","fin11d","fin11e","fin11f","fin11g","fin11h","fin13_1a","fin13_1b","fin13_1c","fin13_1d","fin13_1e","fin13_1f","fin13a","fin13b","fin13c","fin13d","fin14_1","fin14_2","fin14_2_China","fin14a","fin14a1","fin14b","fin14c","fin14c_2","fin14c_2_China","fin16","fin17a","fin17a1","fin17b","fin20","fin22a","fin22b","fin22c","fin24","fin24a","fin24b","fin26","fin27_1","fin27c1","fin27c2","fin28","fin29_1","fin29c1","fin29c2","fin30","fin31a","fin31b","fin31b1","fin31b1_China","fin31c","fin32","fin33","fin34a","fin34b","fin34d","fin34e","fin35","fin37","fin38","fin39a","fin39b","fin39d","fin39e","fin42","fin42a","fin43a","fin43b","fin43d","fin43e","fin44a","fin44b","fin44c","fin44d","fin45","fin45_1","fin45_1_China","saved","borrowed","receive_wages","receive_transfers","receive_pension","receive_agriculture","pay_utilities","remittances","mobileowner","internetaccess","anydigpayment","merchantpay_dig"
"Kenya","KEN",134492865,1.26791631281442,2,30,2,4,1,1,1,1,1,2,1,1,1,2,1,1,2,,,,1,2,1,2,1,,,,,,,,,,,,,,,,2,1,1,1,1,2,,2,1,1,1,2,,2,1,1,2,2,2,1,,2,2,2,1,2,2,2,1,1,,,1,1,1,2,,,2,,,,,,,1,2,1,1,,,2,,,,,,2,2,1,2,3,3,,1,1,4,1,4,4,1,1,1,1,1,1
"Kenya","KEN",174599572,1.30227858625537,2,16,1,2,2,1,0,0,0,,,2,,,,,,,,,,,,,,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,,,,,2,,,2,2,2,,,,2,2,,2,1,2,2,,3,1,1,2,,,,2,,,,2,,,,,,2,,,,,,,2,2,,,,,2,,,,,,1,1,1,1,4,1,,1,1,4,4,4,4,4,5,1,1,0,0
"Kenya","KEN",200387711,0.479507294100763,1,54,1,3,1,1,0,0,0,,,2,,,,,,,,,,,,,,2,2,1,1,2,2,1,2,2,2,2,2,1,2,2,,,,,2,,,2,2,2,,,,2,2,,2,1,1,1,,2,1,1,2,,,,2,,,,1,2,2,,,1,2,,,,,,,2,2,,,,,1,2,2,2,1,,1,1,1,1,2,1,,0,1,4,4,4,2,2,5,1,2,0,0
"Kenya","KEN",184320909,0.341817240980233,2,22,2,5,2,2,1,1,1,2,1,2,,,1,1,2,,,,1,2,1,2,2,,,,,,,,,,,,,,,,2,1,2,1,2,,,2,1,2,,,,2,2,2,2,2,2,1,,2,1,1,1,1,,,1,1,,,2,,,,,,2,,,,,,,1,2,1,1,,,2,,,,,,1,1,1,2,2,1,,0,1,4,1,4,4,4,1,1,1,1,0
"Kenya","KEN",165022915,0.540846661475815,2,31,1,4,1,1,1,0,1,,,2,,,,,,,,,,,,,,,2,2,2,2,2,1,1,1,,,,,,,1,1,2,1,2,,,1,1,2,,,,2,2,2,2,2,2,2,,3,3,1,1,2,2,1,1,1,,,1,2,1,2,,,2,,,,,,,2,2,,,,,1,1,2,2,1,,1,2,2,2,4,3,,1,0,4,4,4,2,1,1,1,2,1,0
"Kenya","KEN",185098968,1.1061481961543,1,47,1,2,1,1,0,0,0,,,2,,,,,,,,,,,,,,2,1,1,1,1,2,1,2,1,1,1,1,1,1,1,,,,,2,,,2,1,2,,,,2,2,,1,2,1,1,1,4,1,1,2,,,,2,,,,2,,,,,,2,,,,,,,2,2,,,,,2,,,,,,1,1,1,1,2,1,,1,1,4,4,4,4,4,5,1,2,0,0
"Kenya","KEN",191614376,0.696009115151107,1,35,1,1,1,2,0,0,0,,,2,,,,,,,,,,,,,,1,1,1,1,1,1,1,2,1,1,1,1,1,2,1,,,,,2,,,2,1,2,,,,2,2,,2,2,2,2,,7,,,2,,,,2,,,,2,,,,,,2,,,,,,,2,2,,,,,2,,,,,,1,1,1,1,4,1,,0,0,4,4,4,4,4,5,1,1,0,0
"Kenya","KEN",120868501,0.958416788865916,1,30,1,1,1,1,0,0,0,,,2,,,,,,,,,,,,,,2,1,2,1,1,2,2,2,1,2,1,2,2,2,2,,,,,2,,,2,2,2,,,,2,2,,2,2,2,2,,5,1,1,2,,,,2,,,,2,,,,,,2,,,,,,,2,2,,,,,2,,,,,,1,1,1,1,2,1,,0,0,4,4,4,4,4,5,2,2,0,0
"Kenya","KEN",113734893,0.654806165311806,2,30,1,3,1,1,1,0,1,,,2,,,,,,,,,,,,,,,2,2,2,2,2,1,2,2,,,,,,,1,1,2,1,1,2,,1,1,2,,,,2,2,1,2,1,2,1,,2,1,1,1,1,,,1,1,,,2,,,,,,2,,,,,,,2,2,,,,,1,1,2,1,,,1,1,1,1,3,1,,1,1,4,4,4,1,4,1,2,2,1,1
"Kenya","KEN",205330546,0.435882724483758,2,26,2,5,1,1,1,0,1,,,2,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,,,,,,,1,1,1,1,2,,,1,1,2,,,,2,2,1,2,2,2,1,,6,2,2,1,1,,,1,1,,,2,,,,,,1,2,2,1,,,1,2,2,,,,,2,,,,,,1,1,1,2,2,1,,1,1,1,4,4,4,4,1,1,1,1,0
"Kenya","KEN",200890978,0.408420967437309,2,23,2,5,1,2,1,0,1,,,2,,,,,,,,,,,,,,,2,1,2,2,2,1,2,2,2,2,2,2,2,2,,,,,1,1,,2,1,2,,,,2,2,,2,2,2,2,,3,1,2,1,2,2,2,2,,,,2,,,,,,1,2,2,1,,,1,2,2,,,,,2,,,,,,1,1,1,2,3,1,,0,0,1,4,4,4,4,4,1,1,1,1
"Kenya","KEN",179626168,1.18442777467205,2,34,2,3,1,1,1,0,1,,,2,,,,,,,,,,,,,,,2,2,2,2,2,1,2,1,,,,,,,1,1,1,1,2,,,1,1,2,,,,2,2,2,2,2,2,1,,5,1,1,1,1,,,1,2,1,1,1,2,1,2,,,2,,,,,,,2,2,,,,,2,,,,,,2,1,2,2,2,1,,0,1,4,4,4,4,1,1,2,2,1,0
"Kenya","KEN",140351806,0.5947913362183,2,21,2,3,1,1,1,1,1,2,2,2,,,2,1,2,,,,1,1,1,1,1,,,,,,,,,,,,,,,,1,1,1,1,2,,,2,1,2,,,,2,1,1,1,2,2,1,2,5,3,1,2,,,,1,1,,,1,1,1,2,,,2,,,,,,,1,2,1,1,,,1,1,1,2,,,1,2,1,3,2,3,,1,1,4,1,4,1,1,1,1,1,1,0
"Kenya","KEN",115057774,1.07522668430826,1,16,2,4,2,2,0,0,0,,,2,,,,,,,,,,,,,,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,,,,,2,,,2,2,2,,,,2,2,,2,2,2,2,,8,,,2,,,,2,,,,2,,,,,,2,,,,,,,2,2,,,,,2,,,,,,3,2,3,3,,3,,0,0,4,4,4,4,4,5,2,2,0,0
"Kenya","KEN",117771333,1.10013774457823,2,38,2,1,1,1,1,1,1,,,2,,,,,,,,,,,,,,,1,2,1,2,2,1,2,2,,,,,,,1,1,2,2,1,2,,1,1,2,,,,2,2,2,2,2,2,1,,3,3,2,2,,,,2,,,,1,1,1,2,,,1,2,2,1,,,2,2,2,,,,,2,,,,,,1,2,2,2,4,1,,0,1,1,4,4,4,1,5,1,2,1,1
"Kenya","KEN",172590856,0.411946369860908,1,18,2,5,1,2,1,0,1,,,2,,,,,,,,,,,,,,,1,2,2,2,2,2,1,2,,,,,,,1,1,2,1,2,,,1,1,2,,,,2,2,2,1,2,2,1,2,2,2,1,1,1,,,2,,,,2,,,,,,2,,,,,,,2,2,,,,,2,,,,,,2,2,2,2,2,2,,1,1,4,4,4,4,4,1,1,1,1,0
"Kenya","KEN",151043349,0.374893398049991,2,29,1,5,1,1,0,0,0,,,2,,,,,,,,,,,,,,1,1,1,1,2,2,1,2,2,1,1,2,1,2,1,,,,,2,,,2,2,2,,,,2,2,,2,2,2,1,,2,2,1,2,,,,1,2,1,2,2,,,,,,1,2,2,2,1,,,2,2,,,,,1,1,2,2,1,,2,2,3,2,4,1,,0,1,2,4,4,2,4,3,2,2,0,0
"Kenya","KEN",150672398,0.84795596309576,1,24,1,2,2,1,1,0,1,,,2,,,,,,,,,,,,,,,1,2,1,2,2,2,1,1,,,,,,,1,1,2,1,2,,,2,2,2,,,,1,2,1,2,1,2,1,,2,1,1,1,1,,,1,1,,,2,,,,,,2,,,,,,,2,2,,,,,2,,,,,,1,1,2,1,4,1,,1,1,4,4,4,4,4,1,1,1,1,0
"Kenya","KEN",190760446,0.536672629439506,1,31,2,5,1,1,1,0,1,,,2,,,,,,,,,,,,,,,2,2,2,2,2,1,2,2,,,,,,,1,2,1,1,1,2,,1,1,2,,,,2,2,2,1,1,2,1,1,3,1,1,1,1,,,1,1,,,1,2,1,2,,,2,,,,,,,2,2,,,,,2,,,,,,1,1,1,1,4,1,,1,1,4,4,4,4,1,1,1,1,1,1
"Kenya","KEN",191966720,0.950214738508179,2,27,1,4,1,2,1,0,1,,,2,,,,,,,,,,,,,,,1,1,2,2,2,1,2,2,,,,,,,1,1,1,1,1,2,,1,1,2,,,,2,2,2,2,2,2,1,,3,2,1,1,1,,,1,1,,,2,,,,,,1,2,2,1,,,2,2,2,,,,,2,,,,,,2,1,2,2,2,1,,0,1,1,4,4,4,4,1,1,2,1,1
"Kenya","KEN",191139156,0.702169896486245,1,31,1,2,2,1,0,0,0,,,2,,,,,,,,,,,,,,2,1,1,1,1,3,1,2,1,1,1,1,1,1,1,,,,,2,,,2,2,2,,,,2,2,,2,1,2,2,,4,1,1,2,,,,2,,,,2,,,,,,2,,,,,,,2,2,,,,,2,,,,,,1,1,1,1,4,1,,0,1,4,4,4,4,4,5,2,2,0,0
"Kenya","KEN",112536603,0.871765448967517,2,30,2,2,1,1,1,0,1,,,2,,,,,,,,,,,,,,,2,1,2,1,2,1,2,1,,,,,,,1,1,1,1,1,2,,1,1,2,,,,2,2,1,1,2,2,1,1,2,1,1,1,1,,,1,1,,,2,,,,,,2,,,,,,,2,2,,,,,2,,,,,,2,1,2,1,2,1,,1,1,4,4,4,4,4,1,1,1,1,1
"Kenya","KEN",193511912,2.4454211703738,1,22,2,4,1,2,1,1,1,1,1,1,1,1,1,1,2,,,,1,2,1,1,1,,,,,,,,,,,,,,,,1,1,1,1,1,2,,1,1,1,1,2,,2,1,1,1,1,2,1,2,2,3,2,1,1,,,1,1,,,1,1,1,2,,,1,1,1,2,,,1,2,2,,,,,2,,,,,,3,1,2,2,2,1,,1,1,1,4,4,4,1,1,1,1,1,1
"Kenya","KEN",113416446,0.459129018692747,1,30,2,4,1,1,1,0,1,,,2,,,,,,,,,,,,,,,2,2,2,2,2,1,2,2,,,,,,,1,1,2,1,2,,,2,1,2,,,,2,2,1,1,2,2,1,1,3,3,2,1,1,,,1,1,,,2,,,,,,2,,,,,,,2,2,,,,,1,1,2,1,,,3,3,2,2,4,1,,1,1,4,4,4,1,4,1,1,2,1,0
